LCR	DESC	DATETIME	NO	LOCATION
71A	Traffic/DWI (Driving While Impaired)	11/11/2015 3:02	P15063137	"(35.8398316396965, -78.67409507597257)"
71A	Traffic/DWI (Driving While Impaired)	11/10/2015 19:15	P15063089	"(35.79641802281219, -78.65571049376712)"
71A	Traffic/DWI (Driving While Impaired)	11/10/2015 3:50	P15062899	"(35.860920867060216, -78.70942416673502)"
71A	Traffic/DWI (Driving While Impaired)	11/9/2015 19:05	P15062861	"(35.8191991457927, -78.56856772315757)"
71A	Traffic/DWI (Driving While Impaired)	11/8/2015 23:12	P15062621	"(35.74819630440728, -78.60891016063646)"
71A	Traffic/DWI (Driving While Impaired)	11/8/2015 22:27	P15062622	"(35.834392944975775, -78.60306775137872)"
71A	Traffic/DWI (Driving While Impaired)	11/8/2015 3:52	P15062513	"(35.89340755366799, -78.55890168952236)"
71A	Traffic/DWI (Driving While Impaired)	11/8/2015 1:20	P15062510	"(35.78703844968842, -78.64653447301819)"
71A	Traffic/DWI (Driving While Impaired)	11/7/2015 23:13	P15062477	"(35.823767912716484, -78.6228588269696)"
71A	Traffic/DWI (Driving While Impaired)	11/7/2015 3:23	P15062307	"(35.78218980506834, -78.57334811627693)"
71A	Traffic/DWI (Driving While Impaired)	11/7/2015 3:03	P15062308	"(35.88480981705618, -78.74100093215709)"
71A	Traffic/DWI (Driving While Impaired)	11/6/2015 23:54	P15062274	"(35.78898281484616, -78.7479465792484)"
71A	Traffic/DWI (Driving While Impaired)	11/6/2015 22:59	P15062258	"(35.79858421043024, -78.5625488822493)"
71A	Traffic/DWI (Driving While Impaired)	11/6/2015 20:32	P15062237	"(35.8003137506024, -78.62521937224936)"
71A	Traffic/DWI (Driving While Impaired)	11/6/2015 20:17	P15062230	"(35.80324139044778, -78.56521037558)"
71A	Traffic/DWI (Driving While Impaired)	11/6/2015 2:40	P15062062	"(35.78796560267424, -78.6435069187035)"
71A	Traffic/DWI (Driving While Impaired)	11/6/2015 2:20	P15062054	"(35.92057853188204, -78.79396327369017)"
71A	Traffic/DWI (Driving While Impaired)	11/6/2015 1:51	P15062051	"(35.79218991629345, -78.71517695193234)"
71A	Traffic/DWI (Driving While Impaired)	11/6/2015 1:49	P15062049	"(35.773142550640095, -78.68300239520997)"
71A	Traffic/DWI (Driving While Impaired)	11/6/2015 0:10	P15062036	"(35.80019202138336, -78.64662185592971)"
71A	Traffic/DWI (Driving While Impaired)	11/5/2015 21:48	P15062024	"(35.79417627985546, -78.7055469665226)"
71A	Traffic/DWI (Driving While Impaired)	11/5/2015 21:30	P15062014	"(35.87612753790349, -78.53939478565985)"
71A	Traffic/DWI (Driving While Impaired)	11/5/2015 19:45	P15062003	"(35.83908406834815, -78.6733821488437)"
71A	Traffic/DWI (Driving While Impaired)	11/4/2015 20:13	P15061798	"(35.7856331092951, -78.58929024406974)"
71A	Traffic/DWI (Driving While Impaired)	11/4/2015 11:40	P15061679	"(35.73293391366524, -78.85139821346564)"
71A	Traffic/DWI (Driving While Impaired)	11/4/2015 2:45	P15061622	"(35.776211661385105, -78.63666954179676)"
71A	Traffic/DWI (Driving While Impaired)	11/3/2015 2:57	P15061381	"(35.78648970060338, -78.66288642009599)"
71A	Traffic/DWI (Driving While Impaired)	11/2/2015 15:23	P15061224	"(35.80444432654507, -78.62112552599851)"
71A	Traffic/DWI (Driving While Impaired)	11/2/2015 14:56	P15061210	"(35.84173448013945, -78.57686990091793)"
71A	Traffic/DWI (Driving While Impaired)	11/2/2015 3:49	P15061074	
71A	Traffic/DWI (Driving While Impaired)	11/1/2015 6:55	P15060930	"(35.76488721220088, -78.58157519513621)"
