LCR	DESC	DATETIME	NO	LOCATION
71A	Traffic/DWI (Driving While Impaired)	9/27/2015 10:07	P15053496	"(35.7511738995243, -78.68582170844786)"
71A	Traffic/DWI (Driving While Impaired)	9/27/2015 6:52	P15053469	"(35.77885802883293, -78.67789225985038)"
71A	Traffic/DWI (Driving While Impaired)	9/27/2015 4:42	P15053462	"(35.81581430818259, -78.59770434477274)"
71A	Traffic/DWI (Driving While Impaired)	9/27/2015 4:35	P15053467	"(35.84430753444383, -78.58084534924137)"
71A	Traffic/DWI (Driving While Impaired)	9/27/2015 2:07	P15053444	"(35.7912573366924, -78.67967524542071)"
71A	Traffic/DWI (Driving While Impaired)	9/27/2015 1:56	P15053461	"(35.84385967035571, -78.60849620054627)"
71A	Traffic/DWI (Driving While Impaired)	9/27/2015 1:55	P15053443	"(35.78628337914146, -78.6622597697115)"
71A	Traffic/DWI (Driving While Impaired)	9/27/2015 1:55	P15053442	"(35.809767157061785, -78.62023238583434)"
71A	Traffic/DWI (Driving While Impaired)	9/26/2015 3:39	P15053212	"(35.88566608671192, -78.62794250327488)"
71A	Traffic/DWI (Driving While Impaired)	9/26/2015 3:09	P15053208	"(35.846892253001016, -78.58951770834851)"
71A	Traffic/DWI (Driving While Impaired)	9/26/2015 3:02	P15053207	"(35.82101339255185, -78.62856155052864)"
71A	Traffic/DWI (Driving While Impaired)	9/26/2015 2:09	P15053198	"(35.772948820884736, -78.70120384194716)"
71A	Traffic/DWI (Driving While Impaired)	9/26/2015 1:42	P15053196	"(35.782223990437714, -78.64595775203864)"
71A	Traffic/DWI (Driving While Impaired)	9/26/2015 1:26	P15053195	"(35.76969102447907, -78.64776674596202)"
71A	Traffic/DWI (Driving While Impaired)	9/26/2015 0:50	P15053201	"(35.879644229165656, -78.57352665736697)"
71A	Traffic/DWI (Driving While Impaired)	9/26/2015 0:41	P15053193	"(35.78904359297019, -78.68607252422595)"
71A	Traffic/DWI (Driving While Impaired)	9/25/2015 22:35	P15053177	"(35.77473820316671, -78.6415366416512)"
71A	Traffic/DWI (Driving While Impaired)	9/25/2015 3:30	P15052909	"(35.816771499280335, -78.61710399272506)"
71A	Traffic/DWI (Driving While Impaired)	9/25/2015 3:03	P15052914	"(35.813321245764485, -78.6507317462798)"
71A	Traffic/DWI (Driving While Impaired)	9/25/2015 2:12	P15052903	"(35.83307332631776, -78.64674108011732)"
71A	Traffic/DWI (Driving While Impaired)	9/25/2015 0:17	P15052891	"(35.84239658266973, -78.67812738891745)"
71A	Traffic/DWI (Driving While Impaired)	9/24/2015 22:03	P15052892	"(35.77989744410357, -78.64379317894718)"
71A	Traffic/DWI (Driving While Impaired)	9/24/2015 21:20	P15052865	"(35.863117973972656, -78.69616650970609)"
71A	Traffic/DWI (Driving While Impaired)	9/24/2015 10:33	P15052738	"(35.89134328176639, -78.6019819117648)"
71A	Traffic/DWI (Driving While Impaired)	9/24/2015 2:29	P15052706	"(35.76605187479481, -78.64972673553292)"
71A	Traffic/DWI (Driving While Impaired)	9/24/2015 2:00	P15052698	"(35.83582047107808, -78.66855420342569)"
71A	Traffic/DWI (Driving While Impaired)	9/24/2015 1:59	P15052697	"(35.83441905316945, -78.63865609116503)"
71A	Traffic/DWI (Driving While Impaired)	9/23/2015 20:51	P15052666	"(35.8480358958569, -78.60963860104914)"
71A	Traffic/DWI (Driving While Impaired)	9/20/2015 20:42	P15052045	"(35.850999522632016, -78.71112318646095)"
71A	Traffic/DWI (Driving While Impaired)	9/20/2015 5:35	P15051933	"(35.768486820746745, -78.57357440005761)"
71A	Traffic/DWI (Driving While Impaired)	9/20/2015 1:38	P15051928	"(35.858093727608484, -78.70740230773839)"
71A	Traffic/DWI (Driving While Impaired)	9/20/2015 1:01	P15051904	"(35.8595134712927, -78.70730331729011)"
71A	Traffic/DWI (Driving While Impaired)	9/19/2015 23:00	P15051882	"(35.80581973734524, -78.59322992752641)"
71A	Traffic/DWI (Driving While Impaired)	9/19/2015 22:09	P15051875	"(35.8320035708922, -78.58652899424722)"
71A	Traffic/DWI (Driving While Impaired)	9/19/2015 17:46	P15051832	"(35.84982755661981, -78.5855951160528)"
71A	Traffic/DWI (Driving While Impaired)	9/19/2015 14:01	P15051809	"(35.866766989713, -78.58295028184659)"
71A	Traffic/DWI (Driving While Impaired)	9/19/2015 4:42	P15051737	"(35.856953404990364, -78.70187355092379)"
71A	Traffic/DWI (Driving While Impaired)	9/18/2015 23:06	P15051714	"(35.83799261548653, -78.57123209273401)"
71A	Traffic/DWI (Driving While Impaired)	9/18/2015 1:55	P15051502	"(35.776997281755115, -78.64392055132575)"
71A	Traffic/DWI (Driving While Impaired)	9/17/2015 22:56	P15051477	"(35.82792588278825, -78.58525302677971)"
71A	Traffic/DWI (Driving While Impaired)	9/17/2015 22:15	P15051459	"(35.75742261962501, -78.61301237283533)"
71A	Traffic/DWI (Driving While Impaired)	9/17/2015 20:51	P15051446	"(35.78600856907166, -78.687081495253)"
71A	Traffic/DWI (Driving While Impaired)	9/17/2015 19:56	P15051435	"(35.87165595021973, -78.64185775027376)"
71A	Traffic/DWI (Driving While Impaired)	9/17/2015 19:32	P15051445	
71A	Traffic/DWI (Driving While Impaired)	9/17/2015 4:12	P15051301	"(35.840341988367044, -78.59094067715615)"
71A	Traffic/DWI (Driving While Impaired)	9/17/2015 1:11	P15051297	"(35.90220569719195, -78.6737648875808)"
71A	Traffic/DWI (Driving While Impaired)	9/16/2015 23:45	P15051282	"(35.86581068895201, -78.60541190494556)"
71A	Traffic/DWI (Driving While Impaired)	9/16/2015 4:35	P15051092	"(35.859552415229636, -78.58239942863884)"
71A	Traffic/DWI (Driving While Impaired)	9/16/2015 2:43	P15051084	"(35.860742454787584, -78.70811394776258)"
71A	Traffic/DWI (Driving While Impaired)	9/15/2015 22:22	P15051066	"(35.79796664268263, -78.5563627841044)"
71A	Traffic/DWI (Driving While Impaired)	9/15/2015 2:10	P15050828	"(35.748302428548946, -78.71760141714871)"
71A	Traffic/DWI (Driving While Impaired)	9/14/2015 20:22	P15050797	"(35.89914441244065, -78.54620975887619)"
71A	Traffic/DWI (Driving While Impaired)	9/14/2015 19:49	P15050792	"(35.80889968497943, -78.6556539707356)"
71A	Traffic/DWI (Driving While Impaired)	9/14/2015 3:10	P15050619	"(35.815055329493006, -78.62517839740971)"
71A	Traffic/DWI (Driving While Impaired)	9/13/2015 12:45	P15050515	"(35.86225675941023, -78.63312153084068)"
71A	Traffic/DWI (Driving While Impaired)	9/13/2015 7:29	P15050483	"(35.83710477916433, -78.61410180234962)"
71A	Traffic/DWI (Driving While Impaired)	9/13/2015 4:39	P15050471	"(35.83792934150631, -78.61249903177942)"
71A	Traffic/DWI (Driving While Impaired)	9/13/2015 2:54	P15050460	"(35.898445089343255, -78.55786473643374)"
71A	Traffic/DWI (Driving While Impaired)	9/13/2015 2:09	P15050459	"(35.83777621670715, -78.61265359887116)"
71A	Traffic/DWI (Driving While Impaired)	9/13/2015 2:06	P15050449	"(35.76824054295352, -78.69401508330697)"
71A	Traffic/DWI (Driving While Impaired)	9/13/2015 0:05	P15050440	"(35.880700487126546, -78.61089771441922)"
71A	Traffic/DWI (Driving While Impaired)	9/12/2015 23:59	P15050431	"(35.827774976303665, -78.594727955985)"
71A	Traffic/DWI (Driving While Impaired)	9/12/2015 19:14	P15050395	"(35.769978133058196, -78.64759178772944)"
71A	Traffic/DWI (Driving While Impaired)	9/12/2015 4:57	P15050308	"(35.78083310812837, -78.67596562247999)"
71A	Traffic/DWI (Driving While Impaired)	9/12/2015 4:42	P15050298	"(35.7789309985278, -78.6422010681071)"
71A	Traffic/DWI (Driving While Impaired)	9/12/2015 3:32	P15050293	"(35.88585382860623, -78.55356212607451)"
71A	Traffic/DWI (Driving While Impaired)	9/11/2015 23:39	P15050277	"(35.79712094471531, -78.6549721088488)"
71A	Traffic/DWI (Driving While Impaired)	9/11/2015 22:16	P15050241	"(35.74232806186853, -78.64073261744109)"
71A	Traffic/DWI (Driving While Impaired)	9/11/2015 21:58	P15050242	"(35.759615864248424, -78.65014840296287)"
71A	Traffic/DWI (Driving While Impaired)	9/11/2015 21:43	P15050238	
71A	Traffic/DWI (Driving While Impaired)	9/11/2015 3:05	P15050039	"(35.76689144537611, -78.65888152343177)"
71A	Traffic/DWI (Driving While Impaired)	9/10/2015 20:06	P15050008	"(35.752990890279015, -78.63511180366369)"
71A	Traffic/DWI (Driving While Impaired)	9/10/2015 1:55	P15049808	"(35.75189370556879, -78.67993346823008)"
71A	Traffic/DWI (Driving While Impaired)	9/7/2015 23:16	P15049379	"(35.74493741113915, -78.63118102285273)"
71A	Traffic/DWI (Driving While Impaired)	9/7/2015 20:46	P15049380	"(35.811041316260265, -78.56606308175415)"
71A	Traffic/DWI (Driving While Impaired)	9/7/2015 20:21	P15049387	"(35.843045826901836, -78.57278972414345)"
71A	Traffic/DWI (Driving While Impaired)	9/7/2015 5:18	P15049255	"(35.798091303025224, -78.57845372449809)"
71A	Traffic/DWI (Driving While Impaired)	9/7/2015 5:13	P15049256	"(35.76578088444633, -78.61504409757885)"
71A	Traffic/DWI (Driving While Impaired)	9/7/2015 4:01	P15049247	"(35.772068347205, -78.71909285640749)"
71A	Traffic/DWI (Driving While Impaired)	9/7/2015 3:45	P15049246	"(35.779499107172654, -78.62248670349396)"
71A	Traffic/DWI (Driving While Impaired)	9/7/2015 2:08	P15049250	"(35.77956830480511, -78.63955253724843)"
71A	Traffic/DWI (Driving While Impaired)	9/7/2015 1:05	P15049232	"(35.787753292537104, -78.6436950234339)"
71A	Traffic/DWI (Driving While Impaired)	9/6/2015 22:01	P15049208	"(35.81305046515985, -78.61864931533435)"
71A	Traffic/DWI (Driving While Impaired)	9/6/2015 6:30	P15049126	"(35.88975750028572, -78.56257895942902)"
71A	Traffic/DWI (Driving While Impaired)	9/6/2015 3:59	P15049119	"(35.87127279077223, -78.58103689794565)"
71A	Traffic/DWI (Driving While Impaired)	9/6/2015 3:26	P15049111	"(35.8341812917812, -78.582605634426)"
71A	Traffic/DWI (Driving While Impaired)	9/6/2015 1:49	P15049093	
71A	Traffic/DWI (Driving While Impaired)	9/6/2015 1:14	P15049100	"(35.89002078135717, -78.56173114323659)"
71A	Traffic/DWI (Driving While Impaired)	9/6/2015 0:39	P15049084	"(35.78629965871484, -78.64528260356481)"
71A	Traffic/DWI (Driving While Impaired)	9/6/2015 0:23	P15049079	"(35.78029114737592, -78.68782232201652)"
71A	Traffic/DWI (Driving While Impaired)	9/5/2015 12:17	P15048960	"(35.80114823392212, -78.66292905038732)"
71A	Traffic/DWI (Driving While Impaired)	9/5/2015 4:12	P15048918	"(35.77775213309163, -78.68277043876493)"
71A	Traffic/DWI (Driving While Impaired)	9/5/2015 3:30	P15048907	"(35.83519175344804, -78.63924256759387)"
71A	Traffic/DWI (Driving While Impaired)	9/5/2015 3:06	P15048903	"(35.866727064881765, -78.61965682457493)"
71A	Traffic/DWI (Driving While Impaired)	9/5/2015 1:51	P15048895	"(35.78829935082762, -78.64533902317707)"
71A	Traffic/DWI (Driving While Impaired)	9/5/2015 1:00	P15048892	"(35.7819331433467, -78.64414725440054)"
71A	Traffic/DWI (Driving While Impaired)	9/5/2015 0:37	P15048884	"(35.819919425856774, -78.62569658845747)"
71A	Traffic/DWI (Driving While Impaired)	9/4/2015 5:17	P15048676	"(35.779320026069854, -78.64116928457777)"
71A	Traffic/DWI (Driving While Impaired)	9/4/2015 2:35	P15048661	"(35.73530484590504, -78.65082540413532)"
71A	Traffic/DWI (Driving While Impaired)	9/4/2015 2:07	P15048668	"(35.75909988711957, -78.64937814949909)"
71A	Traffic/DWI (Driving While Impaired)	9/3/2015 19:56	P15048620	"(35.785449110340444, -78.58369457952318)"
71A	Traffic/DWI (Driving While Impaired)	9/3/2015 4:13	P15048437	"(35.78770482596932, -78.64767511419667)"
71A	Traffic/DWI (Driving While Impaired)	9/3/2015 2:57	P15048432	"(35.78548935579131, -78.69056886497653)"
71A	Traffic/DWI (Driving While Impaired)	9/3/2015 2:41	P15048435	"(35.774017404861205, -78.63477374153649)"
71A	Traffic/DWI (Driving While Impaired)	9/3/2015 0:02	P15048418	"(35.816473252345006, -78.65878440333782)"
71A	Traffic/DWI (Driving While Impaired)	9/2/2015 3:31	P15048189	"(35.83469409280348, -78.60489351867342)"
71A	Traffic/DWI (Driving While Impaired)	9/2/2015 1:09	P15048184	"(35.76886506533491, -78.61776659593083)"
71A	Traffic/DWI (Driving While Impaired)	8/31/2015 5:21	P15047760	"(35.77495231270545, -78.63233236624684)"
71A	Traffic/DWI (Driving While Impaired)	8/31/2015 0:16	P15047748	"(35.78515265846678, -78.64339050650383)"
71A	Traffic/DWI (Driving While Impaired)	8/30/2015 4:03	P15047657	"(35.885700208908496, -78.5677855406456)"
71A	Traffic/DWI (Driving While Impaired)	8/30/2015 3:45	P15047654	"(35.78072390120021, -78.6475918539961)"
71A	Traffic/DWI (Driving While Impaired)	8/30/2015 2:50	P15047652	"(35.78481596664236, -78.6875456953503)"
71A	Traffic/DWI (Driving While Impaired)	8/30/2015 1:12	P15047641	"(35.81831587366972, -78.59593220116872)"
71A	Traffic/DWI (Driving While Impaired)	8/29/2015 23:54	P15047623	"(35.80180310644809, -78.68327217034718)"
71A	Traffic/DWI (Driving While Impaired)	8/29/2015 10:36	P15047483	"(35.85141335576418, -78.61654772125384)"
71A	Traffic/DWI (Driving While Impaired)	8/29/2015 3:48	P15047443	"(35.754834583964396, -78.67288883716897)"
71A	Traffic/DWI (Driving While Impaired)	8/29/2015 3:01	P15047435	"(35.784669802536484, -78.70369210290991)"
71A	Traffic/DWI (Driving While Impaired)	8/29/2015 2:04	P15047432	"(35.75085387793165, -78.69577971014833)"
71A	Traffic/DWI (Driving While Impaired)	8/29/2015 0:55	P15047421	"(35.81541232626302, -78.60238278432017)"
71A	Traffic/DWI (Driving While Impaired)	8/28/2015 23:54	P15047408	"(35.7697257055061, -78.61471240598884)"
71A	Traffic/DWI (Driving While Impaired)	8/28/2015 23:27	P15047404	"(35.8130427221436, -78.61569202587933)"
71A	Traffic/DWI (Driving While Impaired)	8/28/2015 12:29	P15047264	"(35.765501350530855, -78.55891022381044)"
71A	Traffic/DWI (Driving While Impaired)	8/28/2015 6:17	P15047202	"(35.84737101068337, -78.69059479612352)"
71A	Traffic/DWI (Driving While Impaired)	8/28/2015 3:43	P15047192	"(35.83589363814282, -78.66897502408412)"
71A	Traffic/DWI (Driving While Impaired)	8/28/2015 1:43	P15047176	"(35.79605651536555, -78.69283677552151)"
71A	Traffic/DWI (Driving While Impaired)	8/28/2015 1:05	P15047189	"(35.81314841783474, -78.64755316841908)"
71A	Traffic/DWI (Driving While Impaired)	8/27/2015 23:42	P15047177	"(35.73988175502377, -78.5326383797274)"
71A	Traffic/DWI (Driving While Impaired)	8/27/2015 22:21	P15047156	"(35.79820985138938, -78.57116352868348)"
71A	Traffic/DWI (Driving While Impaired)	8/27/2015 2:58	P15046969	"(35.78928526290997, -78.67592875097344)"
71A	Traffic/DWI (Driving While Impaired)	8/26/2015 22:19	P15046960	"(35.859629139075814, -78.68109094124146)"
71A	Traffic/DWI (Driving While Impaired)	8/26/2015 3:26	P15046773	"(35.805193757758495, -78.6616315154157)"
71A	Traffic/DWI (Driving While Impaired)	8/26/2015 2:47	P15046769	"(35.87262359299869, -78.71394511264937)"
71A	Traffic/DWI (Driving While Impaired)	8/25/2015 23:27	P15046750	"(35.76595826899931, -78.5588202849029)"
71A	Traffic/DWI (Driving While Impaired)	8/24/2015 23:50	P15046549	"(35.730625829432476, -78.65433608805257)"
71A	Traffic/DWI (Driving While Impaired)	8/24/2015 15:14	P15046430	"(35.748789206344426, -78.64931667792412)"
71A	Traffic/DWI (Driving While Impaired)	8/24/2015 3:00	P15046311	"(35.834679546396636, -78.58209801307119)"
71A	Traffic/DWI (Driving While Impaired)	8/24/2015 2:20	P15046305	"(35.85575828873563, -78.58049474544866)"
71A	Traffic/DWI (Driving While Impaired)	8/23/2015 8:51	P15046180	"(35.913333685837394, -78.65118697365207)"
71A	Traffic/DWI (Driving While Impaired)	8/23/2015 5:39	P15046165	"(35.82631752891034, -78.59120770860964)"
71A	Traffic/DWI (Driving While Impaired)	8/23/2015 4:00	P15046169	"(35.82503324738852, -78.62164982080738)"
71A	Traffic/DWI (Driving While Impaired)	8/23/2015 3:40	P15046156	"(35.78843858598862, -78.64780410813908)"
71A	Traffic/DWI (Driving While Impaired)	8/23/2015 3:25	P15046157	"(35.74591113957573, -78.69511761767163)"
71A	Traffic/DWI (Driving While Impaired)	8/23/2015 2:52	P15046148	"(35.7871755027928, -78.6449922433572)"
71A	Traffic/DWI (Driving While Impaired)	8/23/2015 2:47	P15046142	"(35.86443181922254, -78.58255521734635)"
71A	Traffic/DWI (Driving While Impaired)	8/23/2015 2:13	P15046164	"(35.911664817224484, -78.78303583277282)"
71A	Traffic/DWI (Driving While Impaired)	8/23/2015 1:26	P15046135	"(35.818900984981646, -78.59534176232549)"
71A	Traffic/DWI (Driving While Impaired)	8/23/2015 1:22	P15046136	"(35.83405513464721, -78.60300416636751)"
71A	Traffic/DWI (Driving While Impaired)	8/23/2015 0:53	P15046122	"(35.78115321732844, -78.59687993846845)"
71A	Traffic/DWI (Driving While Impaired)	8/22/2015 22:13	P15046107	"(35.90219321024866, -78.79019986682927)"
71A	Traffic/DWI (Driving While Impaired)	8/22/2015 15:32	P15046034	"(35.8743806280739, -78.7276166665125)"
71A	Traffic/DWI (Driving While Impaired)	8/22/2015 4:04	P15045947	"(35.782937445383574, -78.647999791491)"
71A	Traffic/DWI (Driving While Impaired)	8/22/2015 3:48	P15045935	"(35.818885018288526, -78.57618472915374)"
71A	Traffic/DWI (Driving While Impaired)	8/22/2015 3:24	P15045925	"(35.82301731644968, -78.6220688783016)"
71A	Traffic/DWI (Driving While Impaired)	8/22/2015 2:51	P15045939	"(35.81413019736827, -78.60562301473236)"
71A	Traffic/DWI (Driving While Impaired)	8/22/2015 2:11	P15045936	"(35.776079704472885, -78.68121429442328)"
71A	Traffic/DWI (Driving While Impaired)	8/21/2015 3:42	P15045691	"(35.75331503145851, -78.6349543214077)"
71A	Traffic/DWI (Driving While Impaired)	8/20/2015 23:13	P15045676	"(35.77598698320575, -78.62710148253805)"
71A	Traffic/DWI (Driving While Impaired)	8/20/2015 19:51	P15045629	"(35.87237959049158, -78.70535152367198)"
71A	Traffic/DWI (Driving While Impaired)	8/20/2015 2:20	P15045484	"(35.86412785460822, -78.63592523257466)"
71A	Traffic/DWI (Driving While Impaired)	8/20/2015 1:02	P15045482	"(35.86189572989041, -78.62707729706268)"
71A	Traffic/DWI (Driving While Impaired)	8/19/2015 22:53	P15045469	"(35.7830661522684, -78.64638180419617)"
71A	Traffic/DWI (Driving While Impaired)	8/18/2015 2:42	P15045049	"(35.79233707525954, -78.64675067325874)"
71A	Traffic/DWI (Driving While Impaired)	8/18/2015 1:22	P15045038	"(35.780970562624226, -78.71521555931267)"
71A	Traffic/DWI (Driving While Impaired)	8/17/2015 23:42	P15045031	"(35.83209807330517, -78.58412190326175)"
71A	Traffic/DWI (Driving While Impaired)	8/17/2015 2:38	P15044833	"(35.78713629110404, -78.58763318376361)"
71A	Traffic/DWI (Driving While Impaired)	8/16/2015 19:00	P15044780	"(35.78561467676402, -78.5809535192989)"
71A	Traffic/DWI (Driving While Impaired)	8/16/2015 18:52	P15044784	"(35.785270100433, -78.58450648711168)"
71A	Traffic/DWI (Driving While Impaired)	8/16/2015 5:38	P15044694	"(35.75154024302282, -78.65009079879616)"
71A	Traffic/DWI (Driving While Impaired)	8/16/2015 4:44	P15044695	"(35.88277473092874, -78.57068525278798)"
71A	Traffic/DWI (Driving While Impaired)	8/16/2015 3:39	P15044685	"(35.77014403219772, -78.64763751327642)"
71A	Traffic/DWI (Driving While Impaired)	8/16/2015 3:10	P15044679	"(35.81649468871328, -78.60031287370084)"
71A	Traffic/DWI (Driving While Impaired)	8/16/2015 3:03	P15044682	"(35.812637207737055, -78.59400383090427)"
71A	Traffic/DWI (Driving While Impaired)	8/16/2015 3:01	P15044681	"(35.75394176777289, -78.6133116948553)"
71A	Traffic/DWI (Driving While Impaired)	8/16/2015 2:55	P15044677	"(35.8022196997019, -78.62232308108197)"
71A	Traffic/DWI (Driving While Impaired)	8/16/2015 2:38	P15044692	"(35.74806910975004, -78.64924402130231)"
71A	Traffic/DWI (Driving While Impaired)	8/16/2015 0:54	P15044665	"(35.78434220718673, -78.64728408364476)"
71A	Traffic/DWI (Driving While Impaired)	8/15/2015 21:55	P15044636	"(35.778414881073196, -78.60788942805115)"
71A	Traffic/DWI (Driving While Impaired)	8/15/2015 18:28	P15044603	
71A	Traffic/DWI (Driving While Impaired)	8/15/2015 18:27	P15044602	"(35.83694592363961, -78.6025024244501)"
71A	Traffic/DWI (Driving While Impaired)	8/15/2015 18:23	P15044627	"(35.78106973811257, -78.67573686753593)"
71A	Traffic/DWI (Driving While Impaired)	8/15/2015 4:09	P15044492	"(35.82492675496969, -78.56884904170124)"
71A	Traffic/DWI (Driving While Impaired)	8/15/2015 4:05	P15044488	"(35.83448124963452, -78.63803919749077)"
71A	Traffic/DWI (Driving While Impaired)	8/15/2015 3:27	P15044480	"(35.82304448814939, -78.60967990246743)"
71A	Traffic/DWI (Driving While Impaired)	8/15/2015 3:20	P15044497	"(35.946537941788016, -78.53851336332659)"
71A	Traffic/DWI (Driving While Impaired)	8/15/2015 3:08	P15044478	"(35.82507206527412, -78.62042901077741)"
71A	Traffic/DWI (Driving While Impaired)	8/15/2015 2:09	P15044465	"(35.916137278631695, -78.59356905856272)"
71A	Traffic/DWI (Driving While Impaired)	8/15/2015 1:51	P15044493	"(35.91662215578709, -78.59347187242157)"
71A	Traffic/DWI (Driving While Impaired)	8/15/2015 1:15	P15044455	"(35.804226729230024, -78.69361548703472)"
71A	Traffic/DWI (Driving While Impaired)	8/15/2015 1:02	P15044452	"(35.915347343883944, -78.5941768858822)"
71A	Traffic/DWI (Driving While Impaired)	8/15/2015 1:02	P15044451	"(35.914974941452236, -78.59481364027491)"
71A	Traffic/DWI (Driving While Impaired)	8/15/2015 0:22	P15044448	"(35.861446961573854, -78.54859407778916)"
71A	Traffic/DWI (Driving While Impaired)	8/14/2015 22:52	P15044434	"(35.815072253828355, -78.64355454432474)"
71A	Traffic/DWI (Driving While Impaired)	8/14/2015 20:30	P15044471	"(35.8582905390982, -78.57914248777858)"
71A	Traffic/DWI (Driving While Impaired)	8/14/2015 18:11	P15044380	"(35.780669174664965, -78.65179192917573)"
71A	Traffic/DWI (Driving While Impaired)	8/14/2015 5:31	P15044265	"(35.77907713613137, -78.64958003020244)"
71A	Traffic/DWI (Driving While Impaired)	8/14/2015 5:03	P15044269	"(35.74825032792593, -78.7027179562608)"
71A	Traffic/DWI (Driving While Impaired)	8/14/2015 3:17	P15044256	"(35.7466412999748, -78.58504740674974)"
71A	Traffic/DWI (Driving While Impaired)	8/14/2015 2:54	P15044252	"(35.82403513558175, -78.58638984987134)"
71A	Traffic/DWI (Driving While Impaired)	8/14/2015 2:32	P15044267	"(35.81079830156044, -78.64901051028579)"
71A	Traffic/DWI (Driving While Impaired)	8/14/2015 1:53	P15044246	"(35.810357259458385, -78.61176493648642)"
71A	Traffic/DWI (Driving While Impaired)	8/14/2015 0:39	P15044237	"(35.83143723184633, -78.56911277954443)"
71A	Traffic/DWI (Driving While Impaired)	8/13/2015 23:02	P15044247	"(35.81605613629047, -78.7380195726103)"
71A	Traffic/DWI (Driving While Impaired)	8/13/2015 5:29	P15044047	"(35.840560156270115, -78.59110599938055)"
71A	Traffic/DWI (Driving While Impaired)	8/13/2015 3:39	P15044042	"(35.8197924709075, -78.66424970946521)"
71A	Traffic/DWI (Driving While Impaired)	8/13/2015 3:21	P15044041	"(35.793994511986845, -78.64124146704036)"
71A	Traffic/DWI (Driving While Impaired)	8/12/2015 17:57	P15043966	"(35.78752374468224, -78.58614089501407)"
71A	Traffic/DWI (Driving While Impaired)	8/12/2015 2:31	P15043829	"(35.779240662961044, -78.64498100472619)"
71A	Traffic/DWI (Driving While Impaired)	8/12/2015 1:12	P15043821	"(35.86230994596081, -78.71148629293879)"
71A	Traffic/DWI (Driving While Impaired)	8/11/2015 3:56	P15043616	"(35.892893939204875, -78.74005387878186)"
71A	Traffic/DWI (Driving While Impaired)	8/10/2015 5:33	P15043406	"(35.807517315575964, -78.68618241575163)"
71A	Traffic/DWI (Driving While Impaired)	8/10/2015 3:00	P15043399	"(35.82469113291578, -78.58683614728712)"
71A	Traffic/DWI (Driving While Impaired)	8/9/2015 12:18	P15043293	"(35.80098914788737, -78.56310824673734)"
71A	Traffic/DWI (Driving While Impaired)	8/9/2015 6:04	P15043254	"(35.885110308094845, -78.56894789875668)"
71A	Traffic/DWI (Driving While Impaired)	8/9/2015 5:35	P15043249	"(35.875546721757885, -78.57718070501416)"
71A	Traffic/DWI (Driving While Impaired)	8/9/2015 4:31	P15043253	"(35.80324946124681, -78.69338788823195)"
71A	Traffic/DWI (Driving While Impaired)	8/9/2015 4:20	P15043239	"(35.78795525202774, -78.66652084556699)"
71A	Traffic/DWI (Driving While Impaired)	8/9/2015 3:43	P15043237	"(35.777718676414906, -78.63469567547516)"
71A	Traffic/DWI (Driving While Impaired)	8/9/2015 2:23	P15043221	"(35.78887900387124, -78.66941711200552)"
71A	Traffic/DWI (Driving While Impaired)	8/9/2015 0:26	P15043201	"(35.83993249158875, -78.64153796032183)"
71A	Traffic/DWI (Driving While Impaired)	8/8/2015 19:05	P15043179	"(35.75462019067799, -78.61404397138892)"
71A	Traffic/DWI (Driving While Impaired)	8/8/2015 8:25	P15043064	"(35.77076938782068, -78.61921326235505)"
71A	Traffic/DWI (Driving While Impaired)	8/8/2015 4:33	P15043049	"(35.83020392489669, -78.57229558055434)"
71A	Traffic/DWI (Driving While Impaired)	8/8/2015 3:51	P15043042	"(35.82188429829842, -78.61673760037118)"
71A	Traffic/DWI (Driving While Impaired)	8/8/2015 3:47	P15043040	"(35.779772719394686, -78.6413361387721)"
71A	Traffic/DWI (Driving While Impaired)	8/8/2015 2:45	P15043031	"(35.79937435073138, -78.62493263829529)"
71A	Traffic/DWI (Driving While Impaired)	8/8/2015 2:36	P15043030	"(35.80625216743533, -78.61558450828127)"
71A	Traffic/DWI (Driving While Impaired)	8/8/2015 2:15	P15043041	"(35.73723959530806, -78.6497936851873)"
71A	Traffic/DWI (Driving While Impaired)	8/8/2015 1:52	P15043044	"(35.81185912273652, -78.64998158120106)"
71A	Traffic/DWI (Driving While Impaired)	8/8/2015 0:45	P15043017	"(35.87851094701547, -78.70381278559941)"
71A	Traffic/DWI (Driving While Impaired)	8/7/2015 23:56	P15043008	"(35.78871035050525, -78.65060245637446)"
71A	Traffic/DWI (Driving While Impaired)	8/7/2015 23:51	P15043007	"(35.83550816573744, -78.6141110600271)"
71A	Traffic/DWI (Driving While Impaired)	8/7/2015 4:07	P15042829	"(35.749507142244994, -78.64840536182366)"
71A	Traffic/DWI (Driving While Impaired)	8/7/2015 3:54	P15042826	"(35.80643087527755, -78.61680799601916)"
71A	Traffic/DWI (Driving While Impaired)	8/7/2015 3:34	P15042825	"(35.76864681118987, -78.64596233254096)"
71A	Traffic/DWI (Driving While Impaired)	8/7/2015 0:30	P15042812	"(35.800395863671845, -78.63344955129503)"
71A	Traffic/DWI (Driving While Impaired)	8/7/2015 0:13	P15042813	"(35.764415413366955, -78.64953282892267)"
71A	Traffic/DWI (Driving While Impaired)	8/6/2015 2:19	P15042613	"(35.80140837784827, -78.64506967753681)"
71A	Traffic/DWI (Driving While Impaired)	8/6/2015 1:30	P15042619	"(35.816653523884156, -78.65971391836663)"
